lemma,form,gold_upos,pred_upos,purity,entropy,rival,distribution,in_train,train_freq,pos_err,log_freq
what,What,PRON,PRON,0.814991648966732,0.7613249855970989,ADV,"PRON: 0.81, ADV: 0.17",True,379,0,5.940171252720432
if,if,SCONJ,SCONJ,0.7925569413624894,0.8936213971333704,CCONJ,"SCONJ: 0.79, CCONJ: 0.16",True,721,0,6.582025138892826
Google,Google,PROPN,PROPN,,,,,True,7,0,2.0794415416798357
morph,Morphed,VERB,VERB,,,,,True,1,0,0.6931471805599453
into,Into,ADP,ADP,1.0,0.0,,ADP: 1.00,True,185,0,5.225746673713202
GoogleOS,GoogleOS,PROPN,PROPN,,,,,False,0,0,0.0
?,?,PUNCT,PUNCT,,,,,True,764,0,6.639875833826536
what,What,PRON,PRON,0.814991648966732,0.7613249855970989,ADV,"PRON: 0.81, ADV: 0.17",True,379,0,5.940171252720432
if,if,SCONJ,SCONJ,0.7925569413624894,0.8936213971333704,CCONJ,"SCONJ: 0.79, CCONJ: 0.16",True,721,0,6.582025138892826
Google,Google,PROPN,PROPN,,,,,True,7,0,2.0794415416798357
expand,expanded,VERB,VERB,1.0,0.0,,VERB: 1.00,True,13,0,2.6390573296152584
on,on,ADP,ADP,1.0,0.0,,ADP: 1.00,True,1157,0,7.05444965813294
its,its,PRON,PRON,0.20123370978217026,0.8627522479407087,DET,"DET: 0.78, PRON: 0.20",True,174,0,5.1647859739235145
search,search,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,16,0,2.833213344056216
-,-,PUNCT,PUNCT,,,,,True,1332,0,7.195187320178709
engine,engine,NOUN,NOUN,0.7073768872551164,0.8720856314386568,PROPN,"NOUN: 0.71, PROPN: 0.29",True,11,0,2.4849066497880004
(,(,PUNCT,PUNCT,,,,,True,848,0,6.744059186311348
and,and,CCONJ,CCONJ,0.5106103265748634,1.9222733403516568,SCONJ,"CCONJ: 0.51, SCONJ: 0.19, SYM: 0.18, ADV: 0.07",True,5000,0,8.517393171418904
now,now,ADV,ADV,0.5564317998154057,0.9907917287902145,SCONJ,"ADV: 0.56, SCONJ: 0.44",True,236,0,5.4680601411351315
e-mail,e-mail,NOUN,NOUN,0.8380919189613535,0.6388548120005676,PROPN,"NOUN: 0.84, PROPN: 0.16",True,33,0,3.5263605246161616
),),PUNCT,PUNCT,,,,,True,882,0,6.78332520060396
wares,wares,NOUN,NOUN,,,,,False,0,0,0.0
into,into,ADP,ADP,1.0,0.0,,ADP: 1.00,True,185,0,5.225746673713202
a,a,DET,DET,0.7583685214300786,0.878633559384098,PRON,"DET: 0.76, PRON: 0.23",True,4241,0,8.352790135124629
full,full,ADV,ADJ,,,,,True,1,1,0.6931471805599453
-,-,PUNCT,PUNCT,,,,,True,1332,0,7.195187320178709
fledged,fledged,ADJ,ADJ,,,,,False,0,0,0.0
operating,operating,NOUN,NOUN,,,,,True,8,0,2.1972245773362196
system,system,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,62,0,4.143134726391533
?,?,PUNCT,PUNCT,,,,,True,764,0,6.639875833826536
[,[,PUNCT,PUNCT,,,,,True,34,0,3.5553480614894135
via,via,ADP,ADP,0.9805943069986766,0.15701581626319092,ADJ,ADP: 0.98,True,16,0,2.833213344056216
Microsoft,Microsoft,PROPN,PROPN,,,,,True,4,0,1.6094379124341003
Watch,Watch,PROPN,PROPN,,,,,False,0,0,0.0
from,from,ADP,ADP,1.0,0.0,,ADP: 1.00,True,635,0,6.455198563340122
Mary,Mary,PROPN,PROPN,1.0,0.0,,PROPN: 1.00,True,11,0,2.4849066497880004
Jo,Jo,PROPN,PROPN,,,,,False,0,0,0.0
Foley,Foley,PROPN,PROPN,,,,,False,0,0,0.0
],],PUNCT,PUNCT,,,,,True,34,0,3.5553480614894135
(,(,PUNCT,PUNCT,,,,,True,848,0,6.744059186311348
and,And,CCONJ,CCONJ,0.5106103265748634,1.9222733403516568,SCONJ,"CCONJ: 0.51, SCONJ: 0.19, SYM: 0.18, ADV: 0.07",True,5000,0,8.517393171418904
",",",",PUNCT,PUNCT,,,,,True,7019,0,8.856518497019858
by,by,ADP,ADP,1.0,0.0,,ADP: 1.00,True,574,0,6.354370040797351
the,the,DET,DET,0.7326064941314845,0.9462433902887021,PRON,"DET: 0.73, PRON: 0.25",True,9071,0,9.112948025967533
way,way,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,200,0,5.303304908059076
",",",",PUNCT,PUNCT,,,,,True,7019,0,8.856518497019858
be,is,AUX,AUX,0.17053019545853085,1.7430474905759552,CCONJ,"CCONJ: 0.48, ADV: 0.27, AUX: 0.17, SCONJ: 0.08",True,7257,0,8.889859587773016
anybody,anybody,PRON,PRON,,,,,True,6,0,1.9459101490553132
