lemma,form,gold_upos,pred_upos,purity,entropy,rival,distribution,in_train,train_freq,pos_err,log_freq
यह,इसके,PRON,PRON,0.8903140382387975,0.6033075821609912,PROPN,"PRON: 0.89, PROPN: 0.07",True,2353,0,7.763871287820222
अतिरिक्त,अतिरिक्त,ADP,ADP,,,,,True,5,0,1.791759469228055
गुग्गुल,गुग्गुल,PROPN,PROPN,,,,,False,0,0,0.0
कुंड,कुंड,PROPN,PROPN,,,,,False,0,0,0.0
",",",",PUNCT,PUNCT,,,,,True,2572,0,7.8528278122817445
भीम,भीम,PROPN,PROPN,,,,,False,0,0,0.0
गुफा,गुफा,PROPN,PROPN,,,,,False,0,0,0.0
तथा,तथा,CCONJ,CCONJ,0.8292406586460063,0.7897501529843878,SCONJ,"CCONJ: 0.83, SCONJ: 0.13",True,179,0,5.19295685089021
भीमशिला,भीमशिला,PROPN,PROPN,,,,,False,0,0,0.0
भी,भी,PART,PART,0.4006200038721949,0.9713121182961167,ADP,"ADP: 0.60, PART: 0.40",True,1873,0,7.535830462798367
दर्शनीय,दर्शनीय,ADJ,ADJ,,,,,True,6,0,1.9459101490553132
स्थल,स्थल,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,37,0,3.6375861597263857
है,हैं,AUX,AUX,1.0,0.0,,AUX: 1.00,True,8400,0,9.036106025364846
।,।,PUNCT,PUNCT,,,,,True,12160,0,9.405989388981
आधा,आधा,DET,DET,0.6665556290508209,1.2455266864607377,ADJ,"DET: 0.67, ADJ: 0.23, NUM: 0.10",True,31,0,3.4657359027997265
किमी,किमी,NOUN,NOUN,0.4645473921973533,0.996370344607142,NUM,"NUM: 0.54, NOUN: 0.46",True,15,0,2.772588722239781
का,की,ADP,ADP,0.3603268204506129,1.5823800041391485,PART,"ADP: 0.36, PART: 0.33, CCONJ: 0.31",True,16610,0,9.717820405491077
दूरी,दूरी,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,34,0,3.5553480614894135
पर,पर,ADP,ADP,0.3612901563859914,1.5817090471903124,PART,"ADP: 0.36, PART: 0.33, CCONJ: 0.31",True,3238,0,8.08301991917133
भैरवनाथ,भैरवनाथ,PROPN,PROPN,,,,,False,0,0,0.0
मंदिर,मंदिर,NOUN,PROPN,1.0,0.0,,NOUN: 1.00,True,80,1,4.394449154672439
है,है,AUX,AUX,1.0,0.0,,AUX: 1.00,True,8400,0,9.036106025364846
",",",",PUNCT,PUNCT,,,,,True,2572,0,7.8528278122817445
जहाँ,जहाँ,PRON,PRON,0.3371618996853189,1.670625457638776,CCONJ,"CCONJ: 0.40, PRON: 0.34, SCONJ: 0.25",True,81,0,4.406719247264253
केवल,केवल,PART,PART,0.1726835553184939,1.0042472632037527,NUM,"NUM: 0.76, PART: 0.17, DET: 0.07",True,48,0,3.8918202981106265
केदारनाथ,केदारनाथ,PROPN,PROPN,,,,,True,4,0,1.6094379124341003
का,के,ADP,ADP,0.3603268204506129,1.5823800041391485,PART,"ADP: 0.36, PART: 0.33, CCONJ: 0.31",True,16610,0,9.717820405491077
पट,पट,NOUN,NOUN,,,,,True,2,0,1.0986122886681098
खुलना,खुलने,VERB,VERB,1.0,0.0,,VERB: 1.00,True,36,0,3.6109179126442243
और,और,CCONJ,CCONJ,0.7818763587668318,1.0840762094957785,SCONJ,"CCONJ: 0.78, SCONJ: 0.12, PART: 0.06",True,3097,0,8.038512020976814
बंद,बंद,ADJ,ADJ,0.6051412175279265,1.03094964187254,ADV,"ADJ: 0.61, ADV: 0.39",True,105,0,4.663439094112067
होना,होने,VERB,VERB,1.0,0.0,,VERB: 1.00,True,2841,0,7.952263308657046
