pattern,n_pattern_occurence,n_pattern_positive_occurence,decision,alpha,value,coverage,precision
node:X:child:Number=Sing,796,378,no,0.028999999999999998,-0.09761887255508661,59.9713055954089,52.51256281407035
node:X:parent:position=after,8208,8079,yes,0.022000000000000006,0.04817806106147149,66.85146876292926,98.42836257309942
node:X:child:rel_shallow=obj,409,94,no,0.019000000000000003,-0.020488606792992137,45.19368723098996,77.01711491442543
node:X:child:rel_shallow=obl:arg,657,336,no,0.018000000000000002,-0.1656371602371447,46.0545193687231,48.858447488584474
node:X:next:Number=Sing,4732,4721,yes,0.009000000000000008,0.024957649755230737,39.06495655771618,99.76754015215553
node:X:own:ExtPos=PRON,395,345,no,0.006000000000000005,0.1270270886075614,7.173601147776183,12.658227848101266
node:X:prev:Person=3,4243,4189,yes,0.006000000000000005,0.0736328011477625,34.66280513032685,98.72731557860006
node:X:prev:VerbForm=Fin,4014,3959,yes,0.0040000000000000036,0.059845089395426876,32.75961936284651,98.6297957149975
node:X:child:rel_shallow=punct,648,492,no,0.0030000000000000027,-0.14060591730088334,22.381635581061694,24.074074074074073
node:X:parent:Tense=Past,2685,2458,no,0.0020000000000000018,-0.06936576008377188,32.568149210903876,8.45437616387337
node:X:prev:Tense=Pres,3439,3388,yes,0.0020000000000000018,0.02698646948242811,28.034753827058335,98.51701075894155
node:X:own:Polarity=Neg,3214,3214,yes,0.001,0.4472558880116104,26.59495242035581,100.0
node:X:parent:VerbForm=Part,2700,2474,no,0.001,-0.14944512693077527,32.42467718794835,8.37037037037037
node:X:next:Number=Plur,1671,1667,yes,0.001,0.16219004388949398,13.793959453868432,99.7606223818073
node:X:parent:SpaceAfter=No,1794,1775,yes,0.001,0.033989762897711495,14.687629292511378,98.94091415830546
node:X:next:Gender=Masc,2691,2688,yes,0.001,0.3493418158171182,22.242449317335538,99.88851727982163
node:X:child:Number=Plur,492,322,no,0.001,-0.16279660191919643,24.390243902439025,34.552845528455286
