lemma,form,gold_upos,pred_upos,purity,entropy,rival,distribution,in_train,train_freq,pos_err,log_freq
سُورِيَا,سوريا,X,X,,,,,True,82,0,4.418840607796598
:,:,PUNCT,PUNCT,,,,,True,477,0,6.169610732491456
تَعدِيل,تعديل,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,49,0,3.912023005428146
وِزَارِيّ,وزاري,ADJ,ADJ,1.0,0.0,,ADJ: 1.00,True,15,0,2.772588722239781
وَاسِع,واسع,ADJ,ADJ,1.0,0.0,,ADJ: 1.00,True,28,0,3.367295829986474
شَمِل,يشمل,VERB,VERB,1.0,0.0,,VERB: 1.00,True,41,0,3.7376696182833684
8,8,NUM,NUM,0.7921242924672282,0.8336154444148008,X,"NUM: 0.79, X: 0.19",True,161,0,5.087596335232384
حَقِيبَة,حقائب,NOUN,NOUN,,,,,True,8,0,2.1972245773362196
دمشق,دمشق,X,NOUN,,,,,True,1,1,0.6931471805599453
(,(,PUNCT,PUNCT,,,,,True,597,0,6.393590753950631
وِكَالَة,وكالات,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,143,0,4.969813299576001
نَبَأ,الانباء,NOUN,NOUN,0.01521048876154946,0.1136292963564954,PRON,PRON: 0.98,True,94,0,4.553876891600541
),),PUNCT,PUNCT,,,,,True,597,0,6.393590753950631
-,-,PUNCT,PUNCT,,,,,True,774,0,6.652863029353347
أَجرَى,اجرى,VERB,VERB,1.0,0.0,,VERB: 1.00,True,59,0,4.0943445622221
رَئِيس,الرئيس,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,751,0,6.62273632394984
سُورِيّ,السوري,ADJ,ADJ,1.0,0.0,,ADJ: 1.00,True,188,0,5.241747015059643
بشار,بشار,X,X,0.98711726269728,0.09934882257354109,NOUN,X: 0.99,True,19,0,2.995732273553991
الاسد,الاسد,X,X,0.9875900911110824,0.09637621601276568,ADJ,X: 0.99,True,17,0,2.8903717578961645
تَعدِيل,تعديلا,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,49,0,3.912023005428146
حُكُومِيّ,حكومياً,ADJ,ADJ,1.0,0.0,,ADJ: 1.00,True,78,0,4.3694478524670215
وَاسِع,واسعا,ADJ,ADJ,1.0,0.0,,ADJ: 1.00,True,28,0,3.367295829986474
تَمّ,تم,VERB,VERB,1.0,0.0,,VERB: 1.00,True,419,0,6.040254711277414
بِ,ب,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4868,0,8.4906438561827
مُوجِب,موجب,NOUN,NOUN,0.4191489337759041,0.9810554392592076,X,"X: 0.58, NOUN: 0.42",True,13,0,2.6390573296152584
هُوَ,ه,PRON,PRON,0.0,0.9793157066976844,X,"X: 0.58, NOUN: 0.42",True,8533,0,9.051813463747946
إِقَالَة,إقالة,NOUN,NOUN,,,,,True,8,0,2.1972245773362196
وَزِير,وزيري,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,626,0,6.440946540632921
دَاخِلِيّ,الداخلية,ADJ,ADJ,1.0,0.0,,ADJ: 1.00,True,89,0,4.499809670330265
وَ,و,CCONJ,CCONJ,0.2090750068234723,1.3819851224977189,ADP,"ADP: 0.61, CCONJ: 0.21, PART: 0.18",True,13018,0,9.474165107897397
إِعلَام,الإعلام,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,50,0,3.9318256327243257
عَن,عن,ADP,ADP,1.0,0.0,,ADP: 1.00,True,1018,0,6.926577033222725
مَنصِب,منصبي,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,27,0,3.332204510175204
هُوَ,ها,PRON,PRON,0.0,0.9793157066976844,X,"X: 0.58, NOUN: 0.42",True,8533,0,9.051813463747946
فِي,في,ADP,ADP,1.0,0.0,,ADP: 1.00,True,6872,0,8.835355971121606
