lemma,form,gold_upos,pred_upos,purity,entropy,rival,distribution,in_train,train_freq,pos_err,log_freq
moi,Je,PRON,PRON,0.7120466284894749,1.0523675190710984,CCONJ,"PRON: 0.71, CCONJ: 0.24",True,621,0,6.432940092739179
sentir,sens,VERB,VERB,1.0,0.0,,VERB: 1.00,True,27,0,3.332204510175204
que,qu',SCONJ,SCONJ,0.6915510664276248,1.397369454710615,CCONJ,"SCONJ: 0.69, CCONJ: 0.17, PRON: 0.06, ADV: 0.05",True,1979,0,7.590852123688581
entre,entre,ADP,ADP,0.9951404265427191,0.0443394212917744,ADJ,ADP: 1.00,True,403,0,6.0014148779611505
ça,ça,PRON,PRON,0.7398737785831464,1.0820830987796926,CCONJ,"PRON: 0.74, CCONJ: 0.15, ADV: 0.11",True,36,0,3.6109179126442243
et,et,CCONJ,CCONJ,0.25644065667983523,1.7170903132548632,SCONJ,"SCONJ: 0.43, ADP: 0.28, CCONJ: 0.26",True,7215,0,8.88405606174246
le,les,DET,DET,0.8207496286735718,0.8327615029897053,ADP,"DET: 0.82, ADP: 0.15",True,38293,0,10.55304850493315
film,films,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,178,0,5.187385805840755
de,de,ADP,ADP,0.7886818615006483,0.7439947701431047,CCONJ,"ADP: 0.79, CCONJ: 0.21",True,27784,0,10.232251585714021
médecin,médecins,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,27,0,3.332204510175204
et,et,CCONJ,CCONJ,0.25644065667983523,1.7170903132548632,SCONJ,"SCONJ: 0.43, ADP: 0.28, CCONJ: 0.26",True,7215,0,8.88405606174246
scientifique,scientifiques,NOUN,NOUN,,,,,True,9,0,2.302585092994046
fou,fous,ADJ,ADJ,,,,,True,8,0,2.1972245773362196
que,que,PRON,PRON,0.11611059889321292,1.238361633076011,SCONJ,"SCONJ: 0.71, CCONJ: 0.15, PRON: 0.12",True,430,0,6.066108090103747
nous,nous,PRON,PRON,0.8226072026071004,0.8287662668321807,CCONJ,"PRON: 0.82, CCONJ: 0.13, ADV: 0.05",True,328,0,5.796057750765372
avoir,avons,AUX,AUX,0.7537049139623345,0.8053529913575782,ADV,"AUX: 0.75, ADV: 0.25",True,2935,0,7.984803389734406
déjà,déjà,ADV,ADV,1.0,0.0,,ADV: 1.00,True,86,0,4.465908118654584
voir,vus,VERB,VERB,1.0,0.0,,VERB: 1.00,True,197,0,5.288267030694535
",",",",PUNCT,PUNCT,,,,,True,16599,0,9.717157974344635
nous,nous,PRON,PRON,0.8226072026071004,0.8287662668321807,CCONJ,"PRON: 0.82, CCONJ: 0.13, ADV: 0.05",True,328,0,5.796057750765372
pouvoir,pourrions,VERB,VERB,0.9326172400615902,0.3560798311098319,ADJ,"VERB: 0.93, ADJ: 0.07",True,599,0,6.396929655216146
emprunter,emprunter,VERB,VERB,1.0,0.0,,VERB: 1.00,True,12,0,2.5649493574615367
un,un,DET,DET,0.7741737557418163,1.1225809040946326,ADP,"DET: 0.77, ADP: 0.11, CCONJ: 0.09",True,8933,0,9.097619501912064
autre,autre,ADJ,ADJ,0.5773464864136372,0.982668701467866,NUM,"ADJ: 0.58, NUM: 0.42",True,341,0,5.834810737062605
chemin,chemin,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,44,0,3.8066624897703196
pour,pour,ADP,ADP,0.7890790430468303,0.7432394314397186,CCONJ,"ADP: 0.79, CCONJ: 0.21",True,2242,0,7.715569534520208
le,l',DET,DET,0.8207496286735718,0.8327615029897053,ADP,"DET: 0.82, ADP: 0.15",True,38293,0,10.55304850493315
origine,origine,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,124,0,4.8283137373023015
.,.,PUNCT,PUNCT,,,,,True,13366,0,9.500544261971474
on,On,PRON,PRON,0.5432191123278096,1.5995967780630704,SCONJ,"PRON: 0.54, SCONJ: 0.23, CCONJ: 0.19",True,554,0,6.318968113746434
pouvoir,pourra,VERB,VERB,0.9326172400615902,0.3560798311098319,ADJ,"VERB: 0.93, ADJ: 0.07",True,599,0,6.396929655216146
toujours,toujours,ADV,ADV,1.0,0.0,,ADV: 1.00,True,120,0,4.795790545596741
parler,parler,VERB,VERB,1.0,0.0,,VERB: 1.00,True,78,0,4.3694478524670215
à,à,ADP,ADP,1.0,0.0,,ADP: 1.00,True,9366,0,9.14494815320913
propos,propos,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,20,0,3.044522437723423
de,d',ADP,ADP,0.7886818615006483,0.7439947701431047,CCONJ,"ADP: 0.79, CCONJ: 0.21",True,27784,0,10.232251585714021
Averroès,Averroès,PROPN,PROPN,,,,,False,0,0,0.0
de,de,ADP,ADP,0.7886818615006483,0.7439947701431047,CCONJ,"ADP: 0.79, CCONJ: 0.21",True,27784,0,10.232251585714021
"""","""",PUNCT,PUNCT,,,,,True,819,0,6.709304340258298
décentrement,décentrement,NOUN,NOUN,,,,,False,0,0,0.0
de,de,ADP,ADP,0.7886818615006483,0.7439947701431047,CCONJ,"ADP: 0.79, CCONJ: 0.21",True,27784,0,10.232251585714021
le,le,DET,DET,0.8207496286735718,0.8327615029897053,ADP,"DET: 0.82, ADP: 0.15",True,38293,0,10.55304850493315
sujet,Sujet,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,36,0,3.6109179126442243
"""","""",PUNCT,PUNCT,,,,,True,819,0,6.709304340258298
.,.,PUNCT,PUNCT,,,,,True,13366,0,9.500544261971474
«,«,PUNCT,PUNCT,,,,,True,866,0,6.7650389767805414
lui,Il,PRON,PRON,0.7173975220804439,1.0427392110337699,CCONJ,"PRON: 0.72, CCONJ: 0.24",True,5436,0,8.600982717145921
avoir,a,AUX,AUX,0.7537049139623345,0.8053529913575782,ADV,"AUX: 0.75, ADV: 0.25",True,2935,0,7.984803389734406
être,été,AUX,AUX,0.4687470215317024,1.7986756264740116,SCONJ,"AUX: 0.47, SCONJ: 0.23, ADV: 0.20, CCONJ: 0.10",True,8404,0,9.036582045842716
largement,largement,ADV,ADV,1.0,0.0,,ADV: 1.00,True,21,0,3.091042453358316
