lemma,form,gold_upos,pred_upos,purity,entropy,rival,distribution,in_train,train_freq,pos_err,log_freq
в,В,ADP,ADP,0.39659462752571156,1.14385094057204,DET,"DET: 0.57, ADP: 0.40",True,36022,0,10.491912902324515
советский,советский,ADJ,ADJ,1.0,0.0,,ADJ: 1.00,True,541,0,6.295266001439646
период,период,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,280,0,5.638354669333745
время,времени,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,2282,0,7.733245646529795
число,число,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,618,0,6.428105272684596
ИТ,ИТ,NOUN,PROPN,,,,,True,7,1,2.0794415416798357
-,-,PUNCT,PUNCT,,,,,True,19289,0,9.867342105899775
специалист,специалистов,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,325,0,5.786897381366708
в,в,ADP,ADP,0.39659462752571156,1.14385094057204,DET,"DET: 0.57, ADP: 0.40",True,36022,0,10.491912902324515
Армения,Армении,PROPN,PROPN,1.0,0.0,,PROPN: 1.00,True,13,0,2.6390573296152584
составлять,составляло,VERB,VERB,1.0,0.0,,VERB: 1.00,True,229,0,5.438079308923196
около,около,ADP,ADP,0.5959032716918428,1.6635085907622347,NUM,"ADP: 0.60, NUM: 0.20, DET: 0.09, PART: 0.08",True,374,0,5.926926025970411
десять,десяти,NUM,NUM,1.0,0.0,,NUM: 1.00,True,162,0,5.093750200806762
тысяча,тысяч,NOUN,NOUN,0.006532728965559664,0.056809074105275484,NUM,NUM: 0.99,True,662,0,6.4967749901858625
.,.,PUNCT,PUNCT,,,,,True,64043,0,11.067325626121946
достаться,Доставшийся,VERB,VERB,0.9433947972554114,0.3138187649484922,ADJ,"VERB: 0.94, ADJ: 0.06",True,36,0,3.6109179126442243
в,в,ADP,ADP,0.39659462752571156,1.14385094057204,DET,"DET: 0.57, ADP: 0.40",True,36022,0,10.491912902324515
