lemma,form,gold_upos,pred_upos,purity,entropy,rival,distribution,in_train,train_freq,pos_err,log_freq
evet,Evet,NOUN,NOUN,0.06449692503540634,2.073848469012467,PROPN,"PROPN: 0.46, PRON: 0.23, ADV: 0.11, CCONJ: 0.11, NOUN: 0.06",True,13,0,2.6390573296152584
.,.,PUNCT,PUNCT,,,,,True,3283,0,8.096817470572319
evet,Evet,NOUN,NOUN,0.06449692503540634,2.073848469012467,PROPN,"PROPN: 0.46, PRON: 0.23, ADV: 0.11, CCONJ: 0.11, NOUN: 0.06",True,13,0,2.6390573296152584
.,.,PUNCT,PUNCT,,,,,True,3283,0,8.096817470572319
evet,Evet,NOUN,NOUN,0.06449692503540634,2.073848469012467,PROPN,"PROPN: 0.46, PRON: 0.23, ADV: 0.11, CCONJ: 0.11, NOUN: 0.06",True,13,0,2.6390573296152584
.,.,PUNCT,PUNCT,,,,,True,3283,0,8.096817470572319
ne,Ne,PRON,PRON,0.657373909218341,1.5595369645973152,PROPN,"PRON: 0.66, PROPN: 0.14, ADV: 0.11, NOUN: 0.06",True,98,0,4.59511985013459
zaman,zaman,NOUN,NOUN,0.7768808568937368,0.7658222066504196,ADJ,"NOUN: 0.78, ADJ: 0.22",True,77,0,4.356708826689592
.,.,PUNCT,PUNCT,,,,,True,3283,0,8.096817470572319
değil,Değil,AUX,AUX,0.684685125302444,0.8992136021504445,VERB,"AUX: 0.68, VERB: 0.32",True,72,0,4.290459441148391
tabii,tabii,ADJ,ADJ,0.013011766794258625,2.327135742553073,AUX,"AUX: 0.39, CCONJ: 0.22, PRON: 0.15, PROPN: 0.10, ADV: 0.08",True,20,0,3.044522437723423
.,.,PUNCT,PUNCT,,,,,True,3283,0,8.096817470572319
sen,Seni,PRON,PRON,0.5975153654339292,1.4960517331359373,ADV,"PRON: 0.60, ADV: 0.28, PROPN: 0.06",True,96,0,4.574710978503383
sev,seviyorum,VERB,VERB,1.0,0.0,,VERB: 1.00,True,44,0,3.8066624897703196
",",",",PUNCT,PUNCT,,,,,True,2285,0,7.734558844354756
.,.,PUNCT,PUNCT,,,,,True,3283,0,8.096817470572319
Ayhan,Ayhan,PROPN,PROPN,0.25632541170720324,2.0928548529135487,PRON,"PRON: 0.40, PROPN: 0.26, ADV: 0.19, CCONJ: 0.09",True,28,0,3.367295829986474
Işık,Işık'ın,PROPN,PROPN,,,,,True,1,0,0.6931471805599453
yer,yerine,NOUN,NOUN,0.6105573897718891,0.964438903111094,ADJ,"NOUN: 0.61, ADJ: 0.39",True,111,0,4.718498871295094
