lemma,form,gold_upos,pred_upos,purity,entropy,rival,distribution,in_train,train_freq,pos_err,log_freq
이,이,DET,DET,0.7402809394609176,1.1658005205621638,PRON,"DET: 0.74, PRON: 0.19",True,1487,0,7.305188215393037
조약+에,조약에,ADV,ADV,,,,,False,0,0,0.0
의하+어,의해,SCONJ,SCONJ,0.9217716607049786,0.46509853577797516,ADV,"SCONJ: 0.92, ADV: 0.05",True,340,0,5.831882477283517
영국+은,영국은,PROPN,PROPN,,,,,True,7,0,2.0794415416798357
관세+를,관세를,NOUN,NOUN,,,,,False,0,0,0.0
거의,거의,ADV,ADV,0.9774729980619598,0.155403034210176,NOUN,ADV: 0.98,True,169,0,5.135798437050262
내+지,내지,VERB,VERB,,,,,True,8,0,2.1972245773362196
않,않고,AUX,AUX,0.8683197930690332,0.7418778711260332,SCONJ,"AUX: 0.87, SCONJ: 0.07, CCONJ: 0.05",True,1681,0,7.427738840532894
자기,자기,PRON,PRON,0.10097452450779272,1.4150945221389846,DET,"DET: 0.70, NUM: 0.14, PRON: 0.10",True,115,0,4.7535901911063645
나라,나라,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,51,0,3.9512437185814275
상품+을,상품을,NOUN,NOUN,,,,,True,7,0,2.0794415416798357
청+에,청에,ADV,ADV,,,,,False,0,0,0.0
팔+ㄹ,팔,VERB,VERB,,,,,True,4,0,1.6094379124341003
수,수,NOUN,NOUN,0.4487608035039453,0.9924112220666212,ADV,"ADV: 0.55, NOUN: 0.45",True,2139,0,7.668561108015897
있+게,있게,ADJ,ADJ,0.8717366712622217,0.641626254816026,SCONJ,"ADJ: 0.87, SCONJ: 0.10",True,63,0,4.1588830833596715
되+었+다,되었다,VERB,VERB,1.0,0.0,,VERB: 1.00,True,406,0,6.008813185442595
.,.,PUNCT,PUNCT,,,,,True,22547,0,10.023401649201466
이제,이제,ADV,ADV,0.35509251686178644,1.4293850081570252,PRON,"PRON: 0.53, ADV: 0.36, PROPN: 0.11",True,144,0,4.976733742420574
잠자+는,잠자는,VERB,VERB,,,,,True,3,0,1.3862943611198906
사자+가,사자가,NOUN,NOUN,,,,,True,1,0,0.6931471805599453
아니+라,아니라,SCONJ,SCONJ,0.8278888847473108,0.9688296767053635,ADJ,"SCONJ: 0.83, ADJ: 0.07, ADV: 0.06",True,380,0,5.942799375126701
종이,종이,NOUN,NOUN,,,,,True,7,0,2.0794415416798357
호랑이+가,호랑이가,NOUN,NOUN,,,,,False,0,0,0.0
되+ㄴ,된,VERB,VERB,0.6876244834177061,1.2081390225795703,ADJ,"VERB: 0.69, ADJ: 0.16, SCONJ: 0.15",True,193,0,5.267858159063328
청+은,청은,PROPN,NOUN,,,,,True,1,1,0.6931471805599453
자본주의,자본주의,NOUN,NOUN,0.42830414879837725,1.2336205672884006,PROPN,"PROPN: 0.52, NOUN: 0.43, VERB: 0.05",True,19,0,2.995732273553991
열강+의,열강의,NOUN,NOUN,,,,,True,1,0,0.6931471805599453
식민지+가,식민지가,NOUN,NOUN,,,,,False,0,0,0.0
되+ㄹ,될,VERB,VERB,0.3377875121025108,1.5602726905930444,ADJ,"ADJ: 0.41, VERB: 0.34, CCONJ: 0.26",True,244,0,5.501258210544727
위기+에,위기에,ADV,ADV,0.10655235668665967,0.48942843014482534,NOUN,"NOUN: 0.89, ADV: 0.11",True,11,0,2.4849066497880004
놓이+었+다,놓였다,VERB,VERB,,,,,True,2,0,1.0986122886681098
.,.,PUNCT,PUNCT,,,,,True,22547,0,10.023401649201466
그,그,DET,DET,0.4655349779756074,1.6477363180917028,X,"DET: 0.47, X: 0.39, PRON: 0.10",True,1958,0,7.580189417944541
결과,결과,NOUN,NOUN,0.4012451149079655,0.971674281952793,ADV,"ADV: 0.60, NOUN: 0.40",True,55,0,4.02535169073515
",",",",PUNCT,PUNCT,,,,,True,6399,0,8.764053269347762
구미,구미,PROPN,PROPN,,,,,True,1,0,0.6931471805599453
열강+은,열강은,NOUN,NOUN,,,,,False,0,0,0.0
일본+에서+도,일본에서도,ADV,ADV,,,,,True,6,0,1.9459101490553132
청+에서+처럼,청에서처럼,ADV,ADV,,,,,False,0,0,0.0
관세+를,관세를,NOUN,NOUN,,,,,False,0,0,0.0
거의,거의,ADV,ADV,0.9774729980619598,0.155403034210176,NOUN,ADV: 0.98,True,169,0,5.135798437050262
물+지,물지,VERB,VERB,,,,,True,1,0,0.6931471805599453
않,않고,AUX,AUX,0.8683197930690332,0.7418778711260332,SCONJ,"AUX: 0.87, SCONJ: 0.07, CCONJ: 0.05",True,1681,0,7.427738840532894
자기,자기,PRON,PRON,0.10097452450779272,1.4150945221389846,DET,"DET: 0.70, NUM: 0.14, PRON: 0.10",True,115,0,4.7535901911063645
나라,나라,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,51,0,3.9512437185814275
상품+을,상품을,NOUN,NOUN,,,,,True,7,0,2.0794415416798357
팔+게,팔게,VERB,VERB,,,,,True,1,0,0.6931471805599453
